库存变更,库存变更
库存数量变更时触发（增加/减少）。,库存数量变更时触发（增加/减少）。
低库存警告,低库存警告
库存低于阈值时触发。,库存低于阈值时触发。
缺货,缺货
产品库存归零时触发。,产品库存归零时触发。
库存源添加成功！,库存源添加成功！
库存源添加失败！,库存源添加失败！
库存源不存在！,库存源不存在！
库存源保存成功！,库存源保存成功！
库存源保存失败！,库存源保存失败！
默认库存源不能删除！,默认库存源不能删除！
库存源删除成功！,库存源删除成功！
库存源删除失败！,库存源删除失败！
库存记录不存在！,库存记录不存在！
库存保存成功！,库存保存成功！
库存保存失败！,库存保存失败！
库存调整成功！,库存调整成功！
库存调整失败！,库存调整失败！
产品ID无效！,产品ID无效！
库存管理,库存管理
库存源管理,库存源管理
产品库存,产品库存
库存源,库存源
库存源代码,库存源代码
库存源名称,库存源名称
描述,描述
国家,国家
地区/省份,地区/省份
城市,城市
详细地址,详细地址
邮编,邮编
联系电话,联系电话
联系邮箱,联系邮箱
联系人姓名,联系人姓名
是否启用,是否启用
优先级,优先级
是否使用默认物流,是否使用默认物流
默认仓库,默认仓库
系统默认库存源,系统默认库存源
库存项,库存项
产品ID,产品ID
产品SKU,产品SKU
库存数量,库存数量
库存状态,库存状态
有货,有货
低库存阈值,低库存阈值
