"Please log in first","Please log in first"
Success,Success
"Invoice Management","Invoice Management"
"Invoice ID is required.","Invoice ID is required."
"Invoice issued.","Invoice issued."
"Invoice issue failed.","Invoice issue failed."
"Invoice not found.","Invoice not found."
"Invoice Detail","Invoice Detail"
"Please log in to continue.","Please log in to continue."
"Invoice page hooks",发票页面钩子
"Inject storefront content above the invoice list.",在前台发票列表上方注入扩展内容。
"Invoice list hooks",发票列表钩子
"Inject storefront content next to each invoice list item.",在每条发票记录旁注入扩展内容。
Pending,Pending
Issued,Issued
"Review pending and issued invoices from the order operations workspace.","Review pending and issued invoices from the order operations workspace."
"Total Invoices","Total Invoices"
"Invoice Number","Invoice Number"
"Order Number","Order Number"
Status,Status
"All statuses","All statuses"
"Apply Filters","Apply Filters"
Reset,Reset
Amount,Amount
"Created At","Created At"
Actions,Actions
View,View
Issue,Issue
"No invoices found.","No invoices found."
"Issued billing documents will appear here after order invoicing begins.","Issued billing documents will appear here after order invoicing begins."
"Review invoice references and issue status without leaving the backend workflow.","Review invoice references and issue status without leaving the backend workflow."
"Back to Invoices","Back to Invoices"
"Issue Invoice","Issue Invoice"
Billing,账单
Invoices,发票
"Open Invoices",查看发票
"Total invoices",发票总数
"Pending issue",待开具
"Manage Billing Documents",管理账单文件
WeShop,WeShop
Invoice,Invoice
"Invoice List","Invoice List"
"Total Amount","Total Amount"
"Filter Invoices","Filter Invoices"
"Enter invoice number","Enter invoice number"
"Enter order number","Enter order number"
"All Statuses","All Statuses"
"Issue New Invoice","Issue New Invoice"
Export,Export
"No invoices found","No invoices found"
"Invoice ID","Invoice ID"
Customer,Customer
"Tax Amount","Tax Amount"
Type,Type
"Issue Date","Issue Date"
Download,Download
Previous,Previous
Next,Next
"Page %{1} of %{2}","Page %{1} of %{2}"
"Standard Invoice","Standard Invoice"
"VAT Invoice","VAT Invoice"
Receipt,Receipt
Detail,Detail
"Back to List","Back to List"
"Download PDF","Download PDF"
"Invoice Information","Invoice Information"
"Invoice Type","Invoice Type"
"Billing Period","Billing Period"
"Due Date","Due Date"
Notes,Notes
"Invoice Items","Invoice Items"
"No invoice items available","No invoice items available"
Description,Description
Quantity,Quantity
"Unit Price","Unit Price"
"Tax Rate","Tax Rate"
Total,Total
Subtotal,Subtotal
Tax,Tax
"Customer Information","Customer Information"
"Customer Name","Customer Name"
Email,Email
"Tax ID / VAT Number","Tax ID / VAT Number"
"Billing Address","Billing Address"
"Payment Summary","Payment Summary"
"Paid Amount","Paid Amount"
Outstanding,Outstanding
"Audit Trail","Audit Trail"
"Invoice Created","Invoice Created"
"Invoice Issued","Invoice Issued"
"Payment Received","Payment Received"
账单文档,账单文档
我的发票,我的发票
查看已开具的发票、待处理申请和近期订单的账单参考信息。,查看已开具的发票、待处理申请和近期订单的账单参考信息。
发票总数,发票总数
待开具,待开具
发票号,发票号
订单,订单
金额,金额
状态,状态
创建时间,创建时间
暂无发票,暂无发票
订单开票完成后，已开具的账单文档会显示在这里。,订单开票完成后，已开具的账单文档会显示在这里。
已开具：%{1},已开具：%{1}
"第 %{1} 页 / 共 %{2} 页","第 %{1} 页 / 共 %{2} 页"
上一页,上一页
下一页,下一页
