"Please log in first","Please log in first"
Success,Success
"Order ID is required.",订单ID不能为空。
"Shipment created. The order is now fulfilled.","Shipment created. The order is now fulfilled."
"Shipment creation failed.","Shipment creation failed."
"Order Management",订单管理
"Order marked as delivered.","Order marked as delivered."
"Delivery update failed.","Delivery update failed."
"Invalid order status.","Invalid order status."
"Order status updated.",订单状态已更新。
"Order status update failed.",订单状态更新失败。
"Order not found.",订单不存在。
"Order Detail",订单详情
"Please log in to continue.",请先登录后再继续。
"This order cannot be cancelled.",该订单无法取消。
"Order cancelled. Refund processing will follow your payment method rules.",订单已取消，退款将按支付方式规则处理。
"Order cancelled.",订单已取消。
"My Orders",我的订单
"View All",查看全部
"This order cannot continue to payment.",该订单当前无法继续支付。
"Continue the payment flow from checkout.",从结算页继续支付流程。
"Failed to load order details.",加载订单详情失败。
"Order Details",订单详情
"Fake order signals require frontend customer %{1} to exist.","Fake order signals require frontend customer %{1} to exist."
"Failed to save fake order %{1}","Failed to save fake order %{1}"
"Skipped fake order signal item: missing product %{1}","Skipped fake order signal item: missing product %{1}"
"Failed to save fake order signal item for %{1}","Failed to save fake order signal item for %{1}"
不支持的订单提供者操作：%{1},不支持的订单提供者操作：%{1}
请先登录后再继续。,请先登录后再继续。
订单加载成功。,订单加载成功。
订单ID不能为空。,订单ID不能为空。
该订单无法取消。,该订单无法取消。
订单已取消，退款将按支付方式规则处理。,订单已取消，退款将按支付方式规则处理。
订单已取消。,订单已取消。
订单查询,订单查询
提供订单创建、订单商品持久化和账户摘要查询。,提供订单创建、订单商品持久化和账户摘要查询。
创建订单并返回订单摘要。,创建订单并返回订单摘要。
批量保存订单商品。,批量保存订单商品。
返回账户中心最近订单和待支付订单。,返回账户中心最近订单和待支付订单。
返回当前前台客户的订单看板数据。,返回当前前台客户的订单看板数据。
返回当前前台客户的待支付订单摘要。,返回当前前台客户的待支付订单摘要。
取消当前前台客户拥有的订单。,取消当前前台客户拥有的订单。
"Order list content before","Order list content before"
"Inject content before the storefront order list page body.","Inject content before the storefront order list page body."
"Order list content after","Order list content after"
"Inject content after the storefront order list page body.","Inject content after the storefront order list page body."
"Order detail content before","Order detail content before"
"Inject content before the storefront order detail page body.","Inject content before the storefront order detail page body."
"Order detail items content","Order detail items content"
"Inject content inside the storefront order detail items section.","Inject content inside the storefront order detail items section."
"Order detail content after","Order detail content after"
"Inject content after the storefront order detail page body.","Inject content after the storefront order detail page body."
待处理,待处理
处理中,处理中
已支付,已支付
已发货,已发货
已完成,已完成
已取消,已取消
已退款,已退款
"商品 #%{1}","商品 #%{1}"
已取消或已退款订单不能发货。,已取消或已退款订单不能发货。
只有已支付订单才能发货。,只有已支付订单才能发货。
只有已发货订单才能标记为送达。,只有已发货订单才能标记为送达。
不支持的订单状态。,不支持的订单状态。
"订单状态不允许从 %{1} 变更为 %{2}。","订单状态不允许从 %{1} 变更为 %{2}。"
不支持的支付状态。,不支持的支付状态。
订单不存在。,订单不存在。
您不能取消此订单。,您不能取消此订单。
该订单已经取消。,该订单已经取消。
已完成订单无法直接取消，请先申请退货。,已完成订单无法直接取消，请先申请退货。
该订单已经退款。,该订单已经退款。
该订单已发货，请先提交退货申请后再取消。,该订单已发货，请先提交退货申请后再取消。
退货正在等待确认，待确认收货后才可取消订单。,退货正在等待确认，待确认收货后才可取消订单。
当前订单状态不允许取消。,当前订单状态不允许取消。
"Manage order search, review, and status transitions from one place.",在一个页面内完成订单检索、查看与状态流转。
"Total Orders",订单总数
Pending,待处理
Processing,处理中
"Completed / Cancelled","已完成 / 已取消"
"Order Number",订单号
"Search by order number",按订单号搜索
"Customer ID",客户ID
"Search by customer ID",按客户ID搜索
Status,状态
"All statuses",全部状态
"Apply Filters",应用筛选
Reset,重置
"Payment Status",支付状态
Total,总额
"Created At",创建时间
Actions,操作
View,查看
"No orders found.",暂无订单。
"Try adjusting the filters or create a new order flow from the storefront.",请调整筛选条件，或先从前台创建订单流程。
"Back to Orders",返回订单列表
"Review the order payload, items, and current status.",查看订单信息、商品明细和当前状态。
"Order Summary",订单摘要
"Grand Total",订单总额
"Update Status",更新状态
"Save Status",保存状态
"Order Items",订单商品
Product,商品
SKU,SKU
Qty,数量
Price,价格
"Row Total",小计
"No order items found.",未找到订单商品。
我的订单,我的订单
"您有 %{1} 个订单待支付","您有 %{1} 个订单待支付"
请及时完成支付，避免订单自动取消。支付流程会在当前个人中心页面打开。,请及时完成支付，避免订单自动取消。支付流程会在当前个人中心页面打开。
查看全部,查看全部
您还没有订单,您还没有订单
去购物,去购物
订单号：%{1},订单号：%{1}
待支付,待支付
