店铺保存后,店铺保存后
店铺保存后触发，可用于更新缓存、通知等。,店铺保存后触发，可用于更新缓存、通知等。
店铺删除后,店铺删除后
店铺删除后触发，可用于清理相关数据。,店铺删除后触发，可用于清理相关数据。
店铺状态变更,店铺状态变更
店铺状态变更时触发（启用/禁用）。,店铺状态变更时触发（启用/禁用）。
添加成功！,添加成功！
添加商铺出现问题！,添加商铺出现问题！
参数错误！,参数错误！
商铺不存在！,商铺不存在！
请求错误！,请求错误！
编辑商铺成功！,编辑商铺成功！
编辑商铺出现问题！,编辑商铺出现问题！
删除成功！,删除成功！
店铺不存在！,店铺不存在！
店铺,店铺
商铺名,商铺名
填写正确！,填写正确！
请正确填写商铺名！,请正确填写商铺名！
店铺编码,店铺编码
父商铺必选！,父商铺必选！
默认货币,默认货币
设置商铺默认货币成功,设置商铺默认货币成功
请设置商铺默认货币,请设置商铺默认货币
Logo,Logo
设置商铺Logo成功,设置商铺Logo成功
请设置商铺Logo,请设置商铺Logo
默认地区码,默认地区码
状态,状态
启用,启用
禁用,禁用
地址,地址
设置商铺成功,设置商铺成功
请设置商铺地址,请设置商铺地址
手机,手机
设置商铺手机成功,设置商铺手机成功
请设置商铺手机,请设置商铺手机
邮箱,邮箱
设置商铺邮箱成功,设置商铺邮箱成功
请设置商铺邮箱,请设置商铺邮箱
所属网站,所属网站
--请选择--,--请选择--
选择网站成功,选择网站成功
请选择所属网站,请选择所属网站
开售时间,开售时间
设置商铺开售时间成功,设置商铺开售时间成功
请设置商铺开售时间,请设置商铺开售时间
关闭时间,关闭时间
设置商铺关闭时间成功,设置商铺关闭时间成功
请设置商铺关闭时间,请设置商铺关闭时间
店铺详情,店铺详情
设置商铺店铺详情成功,设置商铺店铺详情成功
请设置商铺店铺详情,请设置商铺店铺详情
纬度,纬度
设置商铺纬度成功,设置商铺纬度成功
请设置商铺纬度,请设置商铺纬度
经度,经度
设置商铺经度成功,设置商铺经度成功
请设置商铺经度,请设置商铺经度
添加,添加
编辑,编辑
继续新增,继续新增
商铺唯一标识码,商铺唯一标识码
请选择或搜索地区码...,请选择或搜索地区码...
店铺管理,店铺管理
后台,后台
添加店铺,添加店铺
暂无店铺，点击右上角添加店铺开始使用,暂无店铺，点击右上角添加店铺开始使用
编辑店铺,编辑店铺
刷新,刷新
保存,保存
搜索店铺名称、代码、地址...,搜索店铺名称、代码、地址...
清除搜索,清除搜索
搜索,搜索
删除,删除
关闭,关闭
确认删除,确认删除
确定要删除店铺,确定要删除店铺
取消,取消
成功,成功
删除成功,删除成功
确定,确定
错误,错误
删除失败,删除失败
网络错误，请稍后重试,网络错误，请稍后重试
value,value
支持语言：%1,支持语言：%1
支持地区：%1,支持地区：%1
"Store 查询器不支持的操作：%{1}","Store 查询器不支持的操作：%{1}"
店铺查询,店铺查询
提供店铺信息查询能力,提供店铺信息查询能力
"根据 ID 获取店铺信息","根据 ID 获取店铺信息"
获取店铺列表,获取店铺列表
按状态过滤，1=启用,按状态过滤，1=启用
商铺信息,商铺信息
处理中,处理中
正在保存，请稍候...,正在保存，请稍候...
添加成功,添加成功
编辑成功,编辑成功
保存失败,保存失败
聚焦,聚焦
展示,展示
全部展示,全部展示
设置,设置
布局预设配置包,布局预设配置包
选择布局预设,选择布局预设
默认布局,默认布局
浅色侧边栏,浅色侧边栏
深色菜单,深色菜单
图标侧边栏,图标侧边栏
紧凑侧边栏,紧凑侧边栏
水平布局,水平布局
水平布局（深色顶部栏）,水平布局（深色顶部栏）
水平布局（盒装宽度）,水平布局（盒装宽度）
盒装布局,盒装布局
选择预设后，将自动配置所有相关布局选项,选择预设后，将自动配置所有相关布局选项
主题颜色,主题颜色
选择主题模式,选择主题模式
明亮模式,明亮模式
暗黑模式,暗黑模式
RTL模式,RTL模式
"Weline Admin 管理面板","Weline Admin 管理面板"
面板,面板
搜索菜单,搜索菜单
搜索菜单...,搜索菜单...
常用菜单,常用菜单
搜索结果,搜索结果
最近访问,最近访问
访问最多,访问最多
字段配置,字段配置
加载失败,加载失败
加载中,加载中
刷新数据,刷新数据
只显示重要数据,只显示重要数据
重置配置,重置配置
重置,重置
重置表头字段配置,重置表头字段配置
重置表头,重置表头
重置筛选字段配置,重置筛选字段配置
重置筛选,重置筛选
重置全部配置,重置全部配置
全部重置,全部重置
主题配置,主题配置
主题,主题
导出数据,导出数据
导出,导出
导出为Excel,导出为Excel
导出Excel,导出Excel
导出为CSV,导出为CSV
导出CSV,导出CSV
导出为JSON,导出为JSON
导出JSON,导出JSON
列设置,列设置
筛选设置,筛选设置
可用字段,可用字段
加载中...,加载中...
显示字段,显示字段
筛选字段,筛选字段
保存配置,保存配置
