对比接口不支持操作：%{1},对比接口不支持操作：%{1}
商品对比,商品对比
对比栏、对比页与快速查看弹窗数据接口。,对比栏、对比页与快速查看弹窗数据接口。
快速查看,快速查看
关闭,关闭
加载中…,加载中…
对比栏,对比栏
对比,对比
清空,清空
开始对比,开始对比
"已选 %{1} / %{2} 件","已选 %{1} / %{2} 件"
对比栏暂无商品,对比栏暂无商品
去逛逛,去逛逛
属性,属性
图片,图片
价格,价格
评分,评分
SKU,SKU
规格参数,规格参数
操作,操作
移除,移除
"无效的商品 ID","无效的商品 ID"
该商品已在对比栏,该商品已在对比栏
"对比栏已满（最多 %{1} 件）","对比栏已满（最多 %{1} 件）"
已加入对比,已加入对比
已从对比栏移除,已从对比栏移除
对比栏已清空,对比栏已清空
无法加载商品预览,无法加载商品预览
商品类型,商品类型
属性集,属性集
品牌,品牌
型号,型号
颜色,颜色
存储容量,存储容量
处理器,处理器
电池容量,电池容量
充电规格,充电规格
网络制式,网络制式
适用面积,适用面积
滤芯类型,滤芯类型
功率,功率
噪音,噪音
智能控制,智能控制
连接方式,连接方式
接口数量,接口数量
"PD 供电","PD 供电"
兼容设备,兼容设备
DPI,DPI
续航时间,续航时间
吸力,吸力
重量,重量
容量,容量
香型,香型
材质,材质
尺寸,尺寸
"甲醛 CADR","甲醛 CADR"
开锁方式,开锁方式
配件,配件
适用面料,适用面料
保质期,保质期
保养说明,保养说明
质保(月),质保(月)
系列,系列
发动机,发动机
排量,排量
最大功率,最大功率
最大扭矩,最大扭矩
座高,座高
离地间隙,离地间隙
油箱容量,油箱容量
整备质量,整备质量
轮胎,轮胎
