"源文本","翻译文本"
"数据表格","数据表格"
"字段设置","字段设置"
"刷新","刷新"
"总记录","总记录"
"显示","显示"
"自动生成","自动生成"
"字段配置","字段配置"
"刷新数据","刷新数据"
"只显示重要数据","只显示重要数据"
"显示所有数据","显示所有数据"
"重置","重置"
"重置配置","重置配置"
"重置表头字段配置","重置表头字段配置"
"导出","导出"
"新增记录","新增记录"
"编辑记录","编辑记录"
"取消","取消"
"保存","保存"
"正在加载字段...","正在加载字段..."
"编辑数据","编辑数据"
"请选择","请选择"
"保存成功","保存成功"
"保存失败","保存失败"
"确定要删除这条记录吗？","确定要删除这条记录吗？"
"请选择要删除的记录","请选择要删除的记录"
"删除确认","删除确认"
"软删除（可恢复）","软删除（可恢复）"
"确认删除","确认删除"
"即将删除的记录：","即将删除的记录："
"共选中","共选中"
"条记录","条记录"
"正在删除...","正在删除..."
"记录已移至回收站","记录已移至回收站"
"删除成功","删除成功"
"删除失败","删除失败"
"您有未保存的编辑内容，确定要离开吗？","您有未保存的编辑内容，确定要离开吗？"
"加载中...","加载中..."
"加载失败","加载失败"
"受保护","受保护"
"所有字段都已配置","所有字段都已配置"
"筛选","筛选"
"已保存","已保存"
"用户选择","用户选择"
"最小长度","最小长度"
"最大长度","最大长度"
"正则表达式","正则表达式"
"隐藏","隐藏"
"上移","上移"
"下移","下移"
"字段标题","字段标题"
"占位符（可选）","占位符（可选）"
"选项(?:启用,0:禁用)","选项(?:启用,0:禁用)"
"设置","设置"
"暂无显示字段","暂无显示字段"
"您可以在右侧调整字段配置","您可以在右侧调整字段配置"
"移除","移除"
"选项(值:标签,值:标签)","选项(值:标签,值:标签)"
"暂无筛选字段","暂无筛选字段"
"收起","收起"
"此字段为必填项","此字段为必填项"
"请输入有效的邮箱地址","请输入有效的邮箱地址"
"请输入有效的数字","请输入有效的数字"
"请输入有效的电话号码","请输入有效的电话号码"
"d-table标签必须指定model属性！","d-table标签必须指定model属性！"
"d-table标签必须指定scope属性！","d-table标签必须指定scope属性！"
"记录不存在","记录不存在"
"记录已永久删除","记录已永久删除"
"数据删除成功","数据删除成功"
"缺少必需参数: model 和 scope","缺少必需参数: model 和 scope"
"缺少必需参数: model 和 data","缺少必需参数: model 和 data"
"缺少必需参数: model、id 和 data","缺少必需参数: model、id 和 data"
"缺少必需参数: model 和 id/ids","缺少必需参数: model 和 id/ids"
"记录创建失败: %{1}","记录创建失败: %{1}"
"记录创建失败","记录创建失败"
"表 %{1} 的记录创建失败","表 %{1} 的记录创建失败"
"记录更新成功","记录更新成功"
"记录更新失败","记录更新失败"
"记录更新失败: %{1}","记录更新失败: %{1}"
"记录删除失败: %{1}","记录删除失败: %{1}"
"删除失败: %{1}","删除失败: %{1}"
"数据删除失败: %{1}","数据删除失败: %{1}"
"ID %{1} 删除失败: %{2}","ID %{1} 删除失败: %{2}"
"批量删除失败: %{1}","批量删除失败: %{1}"
"批量删除完成，成功: %{1}，失败: %{2}","批量删除完成，成功: %{1}，失败: %{2}"
"批量移至回收站完成，成功: %{1}，失败: %{2}","批量移至回收站完成，成功: %{1}，失败: %{2}"
"图片删除成功","图片删除成功"
"图片删除失败","图片删除失败"
"图片删除失败: %{1}","图片删除失败: %{1}"
"永久删除失败: %{1}","永久删除失败: %{1}"
"永久删除失败","永久删除失败"
"模型类不存在: %{1}","模型类不存在: %{1}"
"主模型类不存在: %{1}","主模型类不存在: %{1}"
"成功删除 %{1} 条记录","成功删除 %{1} 条记录"
"添加","添加"
"重置表头","重置表头"
"重置筛选","重置筛选"
"全部重置","全部重置"
"主题配置","主题配置"
"主题","主题"
"导出数据","导出数据"
"导出为Excel","导出为Excel"
"导出Excel","导出Excel"
"导出为CSV","导出为CSV"
"导出CSV","导出CSV"
"导出为JSON","导出为JSON"
"导出JSON","导出JSON"
"列设置","列设置"
"筛选设置","筛选设置"
"可用字段","可用字段"
"显示字段","显示字段"
"筛选字段","筛选字段"
"保存配置","保存配置"
"取消配置","取消配置"
"表格主题配置","表格主题配置"
"显示选项","显示选项"
"显示斑马纹","显示斑马纹"
"显示悬停效果","显示悬停效果"
"显示排序图标","显示排序图标"
"颜色主题","颜色主题"
"主色调","主色调"
"表头背景","表头背景"
"行悬停色","行悬停色"
