"扩展管理","扩展管理"
"请指定模块名","请指定模块名"
"模块扩展详情","模块扩展详情"
"未检测到循环依赖","未检测到循环依赖"
"检测到循环依赖，请查看详情","检测到循环依赖，请查看详情"
"循环依赖检测","循环依赖检测"
"扩展注册表刷新成功","扩展注册表刷新成功"
"扩展注册表刷新失败","扩展注册表刷新失败"
"刷新失败: %1","刷新失败: %1"
"加载模块详情失败: %1","加载模块详情失败: %1"
"刷新注册表","刷新注册表"
"总模块数","总模块数"
"有扩展定义的模块","有扩展定义的模块"
"被扩展的模块","被扩展的模块"
"Sticker 扩展数","Sticker 扩展数"
"模块名","模块名"
"扩展定义","扩展定义"
"被扩展统计","被扩展统计"
"Sticker 扩展","Sticker 扩展"
"操作","操作"
"错误","错误"
"警告","警告"
"有错误","有错误"
"有警告","有警告"
"个扩展点","个扩展点"
"无扩展定义","无扩展定义"
"总计","总计"
"模块","模块"
"主题","主题"
"个 Sticker","个 Sticker"
"无 Sticker 扩展","无 Sticker 扩展"
"详情","详情"
"清除搜索","清除搜索"
"暂无扩展信息","暂无扩展信息"
"系统中还没有定义任何扩展点或扩展关系","系统中还没有定义任何扩展点或扩展关系"
"未找到匹配的扩展","未找到匹配的扩展"
"搜索关键词","搜索关键词"
"没有找到匹配的模块或扩展点","没有找到匹配的模块或扩展点"
"请输入模块名或扩展点关键词回车搜索","请输入模块名或扩展点关键词回车搜索"
"扩展列表","扩展列表"
"扩展点数","扩展点数"
"模块扩展","模块扩展"
"主题扩展","主题扩展"
"被扩展信息","被扩展信息"
"该模块没有定义任何扩展点","该模块没有定义任何扩展点"
"扩展类型","扩展类型"
"文档","文档"
"扩展点列表","扩展点列表"
"必需","必需"
"可选","可选"
"多实例","多实例"
"单实例","单实例"
"提供扩展点","提供扩展点"
"被 Sticker 扩展","被 Sticker 扩展"
"被模块扩展","被模块扩展"
"被主题扩展","被主题扩展"
"没有被扩展","没有被扩展"
"该模块没有被其他模块扩展","该模块没有被其他模块扩展"
"扩展概览","扩展概览"
"该模块没有 Sticker 扩展","该模块没有 Sticker 扩展"
"无 Sticker 扩展","无 Sticker 扩展"
"无模块扩展","无模块扩展"
"该模块没有被其他模块扩展","该模块没有被其他模块扩展"
"无主题扩展","无主题扩展"
"该模块没有被主题扩展","该模块没有被主题扩展"
"路径","路径"
"接口","接口"
"模块级","模块级"
"主题级","主题级"
"关闭","关闭"
"系统配置","系统配置"
"搜索菜单","搜索菜单"
"搜索菜单...","搜索菜单..."
"常用菜单","常用菜单"
"搜索结果","搜索结果"
"最近访问","最近访问"
"访问最多","访问最多"
"设置","设置"
"布局预设配置包","布局预设配置包"
"选择布局预设","选择布局预设"
"默认布局","默认布局"
"浅色侧边栏","浅色侧边栏"
"图标侧边栏","图标侧边栏"
"紧凑侧边栏","紧凑侧边栏"
"水平布局","水平布局"
"水平布局（深色顶部栏）","水平布局（深色顶部栏）"
"水平布局（盒装宽度）","水平布局（盒装宽度）"
"盒装布局","盒装布局"
"选择预设后，将自动配置所有相关布局选项","选择预设后，将自动配置所有相关布局选项"
"主题颜色","主题颜色"
"选择主题模式","选择主题模式"
"明亮模式","明亮模式"
"暗黑模式","暗黑模式"
"RTL模式","RTL模式"
