系统已安装,系统已安装
系统已经安装完成，安装器已禁用。,系统已经安装完成，安装器已禁用。
系统安装,系统安装
环境检测,环境检测
数据库配置,数据库配置
管理员设置,管理员设置
安装完成,安装完成
安装器已禁用,安装器已禁用
环境检测失败：%{error},环境检测失败：%{error}
无效的表单密钥,无效的表单密钥
"请使用 SSE 接口获取安装进度","请使用 SSE 接口获取安装进度"
环境修复失败：%{error},环境修复失败：%{error}
开始环境修复...,开始环境修复...
正在收集环境需求...,正在收集环境需求...
正在检测环境...,正在检测环境...
环境检测通过，无需修复,环境检测通过，无需修复
"尝试解禁函数: %{funcs}","尝试解禁函数: %{funcs}"
函数解禁成功,函数解禁成功
未知,未知
函数解禁失败,函数解禁失败
"从 disable_functions 中移除: %{funcs}","从 disable_functions 中移除: %{funcs}"
"重启 PHP 后刷新页面","重启 PHP 后刷新页面"
"扩展 %{ext} 需要手动安装","扩展 %{ext} 需要手动安装"
未命名,未命名
"跳过 %{name}（无模块路径）","跳过 %{name}（无模块路径）"
"正在安装: %{name}","正在安装: %{name}"
"%{name} 安装成功","%{name} 安装成功"
"%{name} 安装失败","%{name} 安装失败"
重新检测环境...,重新检测环境...
部分问题仍未修复，请手动处理,部分问题仍未修复，请手动处理
环境修复完成,环境修复完成
修复过程出错,修复过程出错
数据库连接失败：%{error},数据库连接失败：%{error}
数据库配置已保存,数据库配置已保存
保存配置失败：%{error},保存配置失败：%{error}
安装失败：%{error},安装失败：%{error}
"从 https://pecl.php.net 下载 php_%{ext}.dll","从 https://pecl.php.net 下载 php_%{ext}.dll"
"放入 PHP 的 ext 目录","放入 PHP 的 ext 目录"
"在 php.ini 中添加 extension=%{ext}","在 php.ini 中添加 extension=%{ext}"
"重启 Web 服务","重启 Web 服务"
"Ubuntu/Debian: sudo apt install php-%{ext}","Ubuntu/Debian: sudo apt install php-%{ext}"
"CentOS/RHEL: sudo yum install php-%{ext}","CentOS/RHEL: sudo yum install php-%{ext}"
"macOS: brew install php && pecl install %{ext}","macOS: brew install php && pecl install %{ext}"
"重启 PHP-FPM 或 Web 服务","重启 PHP-FPM 或 Web 服务"
"Weline Framework","Weline Framework"
系统安装向导,系统安装向导
点击下方按钮开始检测环境...,点击下方按钮开始检测环境...
检测结果,检测结果
开始检测,开始检测
尝试修复,尝试修复
下一步,下一步
数据库类型,数据库类型
主机地址,主机地址
端口,端口
数据库名,数据库名
用户名,用户名
密码,密码
数据库文件路径,数据库文件路径
表前缀,表前缀
测试连接,测试连接
后台入口密钥（留空自动生成）,后台入口密钥（留空自动生成）
例如：admin_secret_key,例如：admin_secret_key
"访问后台的 URL 路径，如：/your_key/login","访问后台的 URL 路径，如：/your_key/login"
"API 后台入口密钥（留空自动生成）","API 后台入口密钥（留空自动生成）"
例如：api_secret_key,例如：api_secret_key
完成安装,完成安装
恭喜！系统已成功安装。请妥善保存以下信息：,恭喜！系统已成功安装。请妥善保存以下信息：
进入后台,进入后台
开始环境检测...,开始环境检测...
"环境检测通过 ✓","环境检测通过 ✓"
通过,通过
环境检测未通过,环境检测未通过
未通过,未通过
缺失扩展,缺失扩展
被禁用函数,被禁用函数
检测失败,检测失败
请求失败,请求失败
位置,位置
操作,操作
修复完成,修复完成
部分问题仍需手动处理,部分问题仍需手动处理
连接中断,连接中断
测试中...,测试中...
连接成功！,连接成功！
连接失败,连接失败
安装中...,安装中...
后台入口密钥,后台入口密钥
"API 后台密钥","API 后台密钥"
后台地址,后台地址
安装失败,安装失败
返回首页,返回首页
