加载活动列表失败：%{1},加载活动列表失败：%{1}
加载促销活动表单失败：%{1},加载促销活动表单失败：%{1}
促销活动保存成功,促销活动保存成功
保存促销活动失败：%{1},保存促销活动失败：%{1}
促销活动,促销活动
circle,circle
促销活动管理,促销活动管理
活动列表,活动列表
list,list
查看促销活动列表,查看促销活动列表
添加促销活动,添加促销活动
plus,plus
打开促销活动新建表单,打开促销活动新建表单
保存促销活动,保存促销活动
save,save
加载规则列表失败：%{1},加载规则列表失败：%{1}
加载规则表单失败：%{1},加载规则表单失败：%{1}
规则名称和有效类型不能为空,规则名称和有效类型不能为空
规则状态无效,规则状态无效
规则保存成功,规则保存成功
保存规则失败：%{1},保存规则失败：%{1}
营销规则,营销规则
营销规则管理,营销规则管理
规则列表,规则列表
查看营销规则列表,查看营销规则列表
添加规则,添加规则
添加营销规则,添加营销规则
保存规则,保存规则
保存营销规则,保存营销规则
加载优惠券列表失败：%{1},加载优惠券列表失败：%{1}
加载优惠券表单失败：%{1},加载优惠券表单失败：%{1}
优惠券保存成功,优惠券保存成功
保存优惠券失败：%{1},保存优惠券失败：%{1}
优惠券管理,优惠券管理
优惠券列表,优惠券列表
查看优惠券列表,查看优惠券列表
添加优惠券,添加优惠券
打开优惠券新建表单,打开优惠券新建表单
保存优惠券,保存优惠券
优惠券代码不能为空,优惠券代码不能为空
优惠券无效或已过期,优惠券无效或已过期
免运费,免运费
免除订单运费,免除订单运费
百分比折扣,百分比折扣
按百分比折扣，支持设置最大折扣金额,按百分比折扣，支持设置最大折扣金额
"享受 %.2f%% 折扣，优惠 %.2f 元","享受 %.2f%% 折扣，优惠 %.2f 元"
折扣百分比,折扣百分比
最大折扣金额,最大折扣金额
应用于,应用于
订单小计,订单小计
运费,运费
买X送Y,买X送Y
购买X件商品，赠送Y件商品（或折扣）,购买X件商品，赠送Y件商品（或折扣）
"买 %d 送 %d，共赠送 %d 件商品，优惠 %.2f 元","买 %d 送 %d，共赠送 %d 件商品，优惠 %.2f 元"
"买 %d 送 %d，享受 %.2f%% 折扣，优惠 %.2f 元","买 %d 送 %d，享受 %.2f%% 折扣，优惠 %.2f 元"
"买 %d 送 %d，每次优惠 %.2f 元，共优惠 %.2f 元","买 %d 送 %d，每次优惠 %.2f 元，共优惠 %.2f 元"
购买数量（X）,购买数量（X）
赠送数量（Y）,赠送数量（Y）
赠送类型,赠送类型
免费赠送,免费赠送
固定金额折扣,固定金额折扣
折扣值（百分比或金额）,折扣值（百分比或金额）
按固定金额折扣,按固定金额折扣
"优惠 %.2f 元","优惠 %.2f 元"
折扣金额,折扣金额
赠品产品,赠品产品
赠送指定产品,赠送指定产品
"赠送产品 ID: %d，数量: %d","赠送产品 ID: %d，数量: %d"
产品ID,产品ID
数量,数量
支付方式,支付方式
根据支付方式进行条件判断,根据支付方式进行条件判断
操作符,操作符
属于,属于
不属于,不属于
订单商品数量,订单商品数量
根据订单中商品数量进行条件判断,根据订单中商品数量进行条件判断
"商品数 >=","商品数 >="
"商品数 <=","商品数 <="
"商品数 >","商品数 >"
"商品数 <","商品数 <"
"商品数 =","商品数 ="
配送方式,配送方式
根据配送方式进行条件判断,根据配送方式进行条件判断
订单金额,订单金额
根据订单小计金额进行条件判断,根据订单小计金额进行条件判断
"订单金额 >=","订单金额 >="
"订单金额 <=","订单金额 <="
"订单金额 >","订单金额 >"
