支持的预览格式,支持的预览格式
"允许其他模块注册可预览的文件格式。Observer 可向 formats 数组添加 MIME 类型。","允许其他模块注册可预览的文件格式。Observer 可向 formats 数组添加 MIME 类型。"
文件上传前,文件上传前
文件上传到存储之前触发，可用于验证或修改上传参数。,文件上传到存储之前触发，可用于验证或修改上传参数。
文件上传后,文件上传后
文件成功上传后触发，可用于后续处理如生成缩略图、记录日志等。,文件成功上传后触发，可用于后续处理如生成缩略图、记录日志等。
文件删除前,文件删除前
文件删除前触发，可用于验证或阻止删除。,文件删除前触发，可用于验证或阻止删除。
存储源切换,存储源切换
用户切换存储源时触发。,用户切换存储源时触发。
"媒体管理 AI 作图适配器","媒体管理 AI 作图适配器"
为后台文件管理器提供文生图、图生图、多轮修图与批量生成的场景约束与模型绑定。,为后台文件管理器提供文生图、图生图、多轮修图与批量生成的场景约束与模型绑定。
图生图/修图需要有效的参考图,图生图/修图需要有效的参考图
"批量数量必须在 1 到 8 之间","批量数量必须在 1 到 8 之间"
"生成 Banner","生成 Banner"
"在媒体目录中生成一张网站 Banner 背景图。","在媒体目录中生成一张网站 Banner 背景图。"
"为电商首页生成一张 16:9 的促销 Banner 背景","为电商首页生成一张 16:9 的促销 Banner 背景"
"返回可保存的 PNG/WebP 图片","返回可保存的 PNG/WebP 图片"
未登录,未登录
图片保存成功,图片保存成功
保存成功,保存成功
保存失败：%{1},保存失败：%{1}
允许的文件类型：,允许的文件类型：
允许的文件大小：,允许的文件大小：
媒体选择器初始化失败，请刷新页面后重试。,媒体选择器初始化失败，请刷新页面后重试。
Storage,存储源
"Local Storage","Local Storage"
Folders,文件夹
Upload,上传
"New Folder",新建文件夹
Rename,重命名
Download,下载
Delete,删除
Refresh,刷新
"AI 作图","AI 作图"
Select,选择
"Drop files here to upload",拖放文件到此处上传
Loading...,加载中...
已选择,已选择
个文件,个文件
取消全选,取消全选
反选,反选
取消,取消
确认选择,确认选择
Preview,预览
"Select a file to preview",选择文件预览
Type,类型
Size,大小
Dimensions,尺寸
"AI 修图","AI 修图"
Cancel,Cancel
OK,确定
文生图,文生图
图生图,图生图
批量生成,批量生成
当前目录图片,当前目录图片
当前目录暂无图片，请先上传或切换到包含图片的文件夹,当前目录暂无图片，请先上传或切换到包含图片的文件夹
没有匹配的图片,没有匹配的图片
提示词,提示词
批量提示词（每行一条）,批量提示词（每行一条）
或同提示词生成数量,或同提示词生成数量
尺寸,尺寸
格式,格式
保存目录,保存目录
本轮对话,本轮对话
参考图,参考图
请从左侧列表选择一张图片作为参考,请从左侧列表选择一张图片作为参考
放大预览,放大预览
生成结果,生成结果
生成结果将显示在这里,生成结果将显示在这里
正在生成…,正在生成…
开始生成,开始生成
继续修图,继续修图
保存,保存
保存图片,保存图片
覆盖原图,覆盖原图
另存为新文件,另存为新文件
文件名,文件名
确认保存,确认保存
关闭,关闭
搜索文件名…,搜索文件名…
连接器URL未配置，请刷新页面,连接器URL未配置，请刷新页面
请求超时，服务器可能繁忙,请求超时，服务器可能繁忙
响应JSON格式无效,响应JSON格式无效
网络错误,网络错误
响应无效,响应无效
%{count,%{count
"已选择 %{count","已选择 %{count"
请选择一个项目进行重命名,请选择一个项目进行重命名
未选择任何项目,未选择任何项目
请至少选择一个文件,请至少选择一个文件
