本地测试支付,本地测试支付
仅用于本地开发验证，不会产生真实扣款。,仅用于本地开发验证，不会产生真实扣款。
"Payment query provider does not support operation: %{1}","Payment query provider does not support operation: %{1}"
支付状态查询成功,支付状态查询成功
支付状态查询失败,支付状态查询失败
"已有 %{1} 个可用于结账的支付方式。","已有 %{1} 个可用于结账的支付方式。"
"暂无可用于结账的支付方式，请启用并配置至少一个 Weline_Payment 支付 Provider。","暂无可用于结账的支付方式，请启用并配置至少一个 Weline_Payment 支付 Provider。"
"支付 Provider 实例不可用。","支付 Provider 实例不可用。"
"Payment methods","Payment methods"
"Weline_Payment payment method registry and checkout availability provider.","Weline_Payment payment method registry and checkout availability provider."
"显式后台目标 scope；可使用 global 或完整 website.store.channel","显式后台目标 scope；可使用 global 或完整 website.store.channel"
读取/预览返回的对象授权版本；提交前必须保持一致,读取/预览返回的对象授权版本；提交前必须保持一致
"Payment method, payable ID and amount are required.","Payment method, payable ID and amount are required."
Payment,Payment
"Payment transaction created.","Payment transaction created."
"Create payment failed: %{message}","Create payment failed: %{message}"
"Payment transaction number is required.","Payment transaction number is required."
"Payment succeeded.","Payment succeeded."
"Payment failed or is still processing.","Payment failed or is still processing."
"Query payment status failed: %{message}","Query payment status failed: %{message}"
缺少交易ID,缺少交易ID
支付交易管理,支付交易管理
支付交易记录管理,支付交易记录管理
查看交易记录,查看交易记录
查看支付交易记录列表,查看支付交易记录列表
查看交易详情,查看交易详情
查看支付交易详情,查看支付交易详情
查询支付状态,查询支付状态
操作授权条件不满足,操作授权条件不满足
支付诊断,支付诊断
支付统计驾驶舱,支付统计驾驶舱
grid,grid
查看支付统计驾驶舱,查看支付统计驾驶舱
缺少支付方式代码,缺少支付方式代码
支付方式不存在,支付方式不存在
支付方式管理,支付方式管理
edit,edit
查看支付方式,查看支付方式
list,list
查看支付方式列表,查看支付方式列表
编辑支付方式,编辑支付方式
编辑支付方式配置,编辑支付方式配置
支付诊断工作台,支付诊断工作台
支付只读诊断,支付只读诊断
Webhook诊断,Webhook诊断
"查看 Webhook 端点与收件状态","查看 Webhook 端点与收件状态"
支付对账,支付对账
查看支付对账审计,查看支付对账审计
退款对账,退款对账
查看退款对账事实,查看退款对账事实
获取支付方式列表成功,获取支付方式列表成功
缺少必需参数,缺少必需参数
订单支付,订单支付
"订单号: %{1}","订单号: %{1}"
支付订单创建成功,支付订单创建成功
"创建支付订单失败: %{1}","创建支付订单失败: %{1}"
缺少交易号,缺少交易号
交易记录不存在,交易记录不存在
查询成功,查询成功
"查询失败: %{1}","查询失败: %{1}"
支付成功,支付成功
支付待处理,支付待处理
支付处理中,支付处理中
