“%{1}”不是已注册模块名，已忽略；仅收集已注册模块的标签。,“%{1}”不是已注册模块名，已忽略；仅收集已注册模块的标签。
"正在收集模块 %{1} 的标签库...","正在收集模块 %{1} 的标签库..."
"模块 %{1} 标签库收集成功！","模块 %{1} 标签库收集成功！"
"模块 %{1} 标签库收集失败：%{2}","模块 %{1} 标签库收集失败：%{2}"
正在收集所有模块的标签库...,正在收集所有模块的标签库...
所有标签库收集成功！,所有标签库收集成功！
标签库收集失败：%{1},标签库收集失败：%{1}
正在清理标签库缓存...,正在清理标签库缓存...
标签库缓存清理成功！,标签库缓存清理成功！
标签库缓存清理失败：%{1}，但标签收集已完成。,标签库缓存清理失败：%{1}，但标签收集已完成。
清理模板缓存...,清理模板缓存...
模板缓存清理完成！,模板缓存清理完成！
模板缓存清理失败：%{1},模板缓存清理失败：%{1}
标签库收集和缓存清理完成！,标签库收集和缓存清理完成！
"正在扫描模块 %{1} (%{2}/%{3})...","正在扫描模块 %{1} (%{2}/%{3})..."
"- 找到 %{1} 个标签","- 找到 %{1} 个标签"
"标签类 %{1} 必须实现 TaglibInterface 接口","标签类 %{1} 必须实现 TaglibInterface 接口"
"加载标签类 %{1} 失败：%{2}","加载标签类 %{1} 失败：%{2}"
"标签注册表已保存到 %{1}","标签注册表已保存到 %{1}"
标签注册表保存失败,标签注册表保存失败
"共收集到 %{1} 个标签","共收集到 %{1} 个标签"
未找到模块：%{1},未找到模块：%{1}
"扫描模块 %{1} 的标签库...","扫描模块 %{1} 的标签库..."
"找到 %{1} 个标签","找到 %{1} 个标签"
"模块 %{1} 共收集到 %{2} 个有效标签","模块 %{1} 共收集到 %{2} 个有效标签"
收集标签库,收集标签库
显示帮助信息,显示帮助信息
指定要收集的模块名称（可选）,指定要收集的模块名称（可选）
收集所有模块的标签库,收集所有模块的标签库
收集指定模块的标签库,收集指定模块的标签库
参数缺失,参数缺失
保存成功,保存成功
获取成功！,获取成功！
检测到标签循环依赖：%{1},检测到标签循环依赖：%{1}
"标签 '%{1}' 依赖的父标签 '%{2}' 不存在","标签 '%{1}' 依赖的父标签 '%{2}' 不存在"
"标签 '%{1}' 依赖的父标签 '%{2}' 没有parent()方法，可能不是预期的父标签","标签 '%{1}' 依赖的父标签 '%{2}' 没有parent()方法，可能不是预期的父标签"
正在收集标签注册表...,正在收集标签注册表...
"✓ 标签注册表已收集完成。","✓ 标签注册表已收集完成。"
标签注册表收集时发生错误：%{1}，但将继续执行升级流程。,标签注册表收集时发生错误：%{1}，但将继续执行升级流程。
"跳过标签类 %{1}：%{2}","跳过标签类 %{1}：%{2}"
所指定的name找不到对应的css模板文件！,所指定的name找不到对应的css模板文件！
"所指定的name找不到对应的js模板文件！name 不能为空；若为内联 JS，请使用成对标签 <js:part>代码</js:part>","所指定的name找不到对应的js模板文件！name 不能为空；若为内联 JS，请使用成对标签 <js:part>代码</js:part>"
所指定的name找不到对应的js模板文件！,所指定的name找不到对应的js模板文件！
"Scope 标签属性 container-id 不能为空！","Scope 标签属性 container-id 不能为空！"
好的,好的
算了,算了
操作成功!,操作成功!
标签文档,标签文档
json数据,json数据
开发>标签管理,开发>标签管理
开发,开发
标签管理,标签管理
列表,列表
开发-标签管理,开发-标签管理
管理标签,管理标签
标签ID,标签ID
标签,标签
系统,系统
模块,模块
创建时间,创建时间
更新时间,更新时间
操作,操作
