重写失败！,重写失败！
重写成功！,重写成功！
删除成功！,删除成功！
删除失败！,删除失败！
路由表,路由表
静态路由管理：可定制属于自己的静态url来提升seo。,静态路由管理：可定制属于自己的静态url来提升seo。
网站ID,网站ID
网站ID正确,网站ID正确
请输入网站ID,请输入网站ID
同一网站ID下重写路径必须唯一,同一网站ID下重写路径必须唯一
路径,路径
输入路径正确,输入路径正确
请输入路径,请输入路径
重写路径,重写路径
请输入重写路径,请输入重写路径
重写路由,重写路由
输入网站ID，0表示默认,输入网站ID，0表示默认
输入路径,输入路径
"URL 管理","URL 管理"
系统配置,系统配置
"URL 管理器","URL 管理器"
路由列表,路由列表
"管理系统中可访问的 URL，可为关键页面设置更友好的自定义地址，提升 SEO 和可读性。","管理系统中可访问的 URL，可为关键页面设置更友好的自定义地址，提升 SEO 和可读性。"
按路径搜索…,按路径搜索…
搜索,搜索
访问路径,访问路径
路由标识,路由标识
所属模块,所属模块
类型,类型
创建时间,创建时间
更新时间,更新时间
操作,操作
前台,前台
自定义,自定义
重写,重写
暂无路由数据,暂无路由数据
请检查相关模块是否正确注册,请检查相关模块是否正确注册
添加,添加
"URL ID","URL ID"
指纹,指纹
是否已删除,是否已删除
是,是
否,否
编辑,编辑
删除,删除
URL管理,URL管理
URL管理器,URL管理器
