可视化编辑器,可视化编辑器
内容管理,内容管理
标题和标识不能为空,标题和标识不能为空
页面标识已存在,页面标识已存在
保存成功,保存成功
"保存失败: %{1}","保存失败: %{1}"
页面ID不能为空,页面ID不能为空
页面不存在,页面不存在
"加载失败: %{1}","加载失败: %{1}"
"获取部件列表失败: %{1}","获取部件列表失败: %{1}"
部件类型和名称不能为空,部件类型和名称不能为空
部件不存在,部件不存在
"预览失败: %{1}","预览失败: %{1}"
页面内容不能为空,页面内容不能为空
部件管理,部件管理
"获取部件详情失败: %{1}","获取部件详情失败: %{1}"
部件多语言翻译表,部件多语言翻译表
部件唯一标识符（格式：module_type_name）,部件唯一标识符（格式：module_type_name）
语言代码,语言代码
部件名称（翻译）,部件名称（翻译）
部件描述（翻译）,部件描述（翻译）
创建时间,创建时间
更新时间,更新时间
解析部件参数失败,解析部件参数失败
预览失败,预览失败
确定要删除这个部件吗？,确定要删除这个部件吗？
选择一个部件进行配置,选择一个部件进行配置
请填写页面标题和标识,请填写页面标题和标识
未知错误,未知错误
保存失败,保存失败
保存,保存
预览,预览
页面标题,页面标题
页面标识,页面标识
部件库,部件库
搜索部件...,搜索部件...
画布,画布
从左侧拖放部件到这里,从左侧拖放部件到这里
属性配置,属性配置
编辑代码,编辑代码
取消,取消
所有模块,所有模块
所有类型,所有类型
筛选,筛选
部件列表,部件列表
没有找到部件,没有找到部件
部件名称,部件名称
类型,类型
来源模块,来源模块
描述,描述
版本,版本
操作,操作
详情,详情
部件详情,部件详情
加载中...,加载中...
关闭,关闭
名称,名称
参数配置,参数配置
参数名,参数名
默认值,默认值
说明,说明
获取详情失败,获取详情失败
加载失败,加载失败
编辑器首页,编辑器首页
访问编辑器,访问编辑器
保存页面,保存页面
加载页面,加载页面
获取部件列表,获取部件列表
查看部件列表,查看部件列表
查看部件详情,查看部件详情
预览部件,预览部件
预览页面,预览页面
"可视化编辑器模块，支持通过拖放方式组织页面，使用 w:widget 标签存储和渲染部件。","可视化编辑器模块，支持通过拖放方式组织页面，使用 w:widget 标签存储和渲染部件。"
此部件没有可配置的参数,此部件没有可配置的参数
更新,更新
编辑,编辑
删除,删除
部件显示名称,部件显示名称
部件描述,部件描述
部件规约文件（必需），定义部件的基本信息、参数配置和模板路径,部件规约文件（必需），定义部件的基本信息、参数配置和模板路径
"部件模板文件（必需，如果未提供 block_class）","部件模板文件（必需，如果未提供 block_class）"
部件文档（可选），说明部件的使用方法,部件文档（可选），说明部件的使用方法
可视化编辑器页面表,可视化编辑器页面表
页面ID,页面ID
"页面内容（w:widget 标签）","页面内容（w:widget 标签）"
"元数据（JSON 格式）","元数据（JSON 格式）"
"页面状态（draft, published）","页面状态（draft, published）"
"Widget 错误: type 和 name 属性是必需的","Widget 错误: type 和 name 属性是必需的"
"Widget 错误: 未找到部件 %{1}/%{2}","Widget 错误: 未找到部件 %{1}/%{2}"
"Widget 错误: 无效的部件类型 %{1}","Widget 错误: 无效的部件类型 %{1}"
"Widget 错误: 未找到模板或 Block 类","Widget 错误: 未找到模板或 Block 类"
"Widget Block 渲染错误: %{1}","Widget Block 渲染错误: %{1}"
"Widget 错误: Block 类缺少 render() 方法","Widget 错误: Block 类缺少 render() 方法"
"Widget 模板渲染错误: %{1}","Widget 模板渲染错误: %{1}"
"Widget 错误: %{1}","Widget 错误: %{1}"
