心愿单接口不支持操作：%{1},心愿单接口不支持操作：%{1}
心愿单,心愿单
产品卡片收藏按钮：添加、移除、列表与计数。,产品卡片收藏按钮：添加、移除、列表与计数。
账户首页收藏分区,账户首页收藏分区
在顾客账户首页收藏分区注入愿望清单列表与管理入口。,在顾客账户首页收藏分区注入愿望清单列表与管理入口。
页头收藏夹图标,页头收藏夹图标
"在页头 user-area 展示收藏入口；默认店面经 Hook 交付，不走应用 Tab 默认注入。","在页头 user-area 展示收藏入口；默认店面经 Hook 交付，不走应用 Tab 默认注入。"
我的收藏,我的收藏
查看已收藏的商品,查看已收藏的商品
收藏夹暂无商品,收藏夹暂无商品
去逛逛,去逛逛
加入购物车,加入购物车
移除,移除
"共 %{1} 件商品","共 %{1} 件商品"
移除失败，请稍后重试,移除失败，请稍后重试
已加入购物车,已加入购物车
"无效的商品 ID","无效的商品 ID"
已加入收藏,已加入收藏
已从收藏移除,已从收藏移除
"在页头 user-area 展示收藏入口；Theme partial 经 Hook 交付，避免内嵌非 Theme 部件。","在页头 user-area 展示收藏入口；Theme partial 经 Hook 交付，避免内嵌非 Theme 部件。"
收藏,收藏
加入收藏失败，请稍后重试,加入收藏失败，请稍后重试
